student_name,grade_level,course_name,term,teacher_name,term_grade
Tanya Young,5,Grade 5 Reading,Fall 2025,TOMAS JIMENEZ,B
Tanya Young,5,Grade 5 Reading,Spring 2026,Felix Yazzie,B
Tanya Young,5,Grade 5 Reading,Fall 2026,Xavier Torres,B
Tanya Young,5,Grade 5 Mathematics,Fall 2025,Kaya Gomez,A
Tanya Young,5,Grade 5 Mathematics,Spring 2026,Nadia Yazzie,A
Tanya Young,5,Grade 5 Mathematics,Fall 2026,Kenji Mendoza,C
Tanya Young,5,Grade 5 Science,Fall 2025,Beatriz Padilla,B
Tanya Young,5,Grade 5 Science,Spring 2026,Aaliyah Chen,C
Tanya Young,5,Grade 5 Science,Fall 2026,Gabriela Ramirez,A
Tanya Young,5,Grade 5 Social Studies,Fall 2025,Hana Ortiz,A
Tanya Young,5,Grade 5 Social Studies,Spring 2026,Javier Patel,C
Tanya Young,5,Grade 5 Social Studies,Fall 2026,Rosa Cruz,A
Tanya Young,5,Grade 5 Art,Fall 2025,Hector Vasquez,A
Tanya Young,5,Grade 5 Art,Spring 2026,Rosa Cruz,C
Tanya Young,5,Grade 5 Art,Fall 2026,Jasmine Silva,A
Alma Chavez,6,Grade 6 Reading,Fall 2025,Hector Dominguez,B
Alma Chavez,6,Grade 6 Reading,Spring 2026,Rosa Cruz,B
Alma Chavez,6,Grade 6 Reading,Fall 2026,Marisol Padilla,F
Alma Chavez,6,Grade 6 Mathematics,Fall 2025,Renata Chen,A
Alma Chavez,6,Grade 6 Mathematics,Spring 2026,Xavier Torres,B
Alma Chavez,6,Grade 6 Mathematics,Fall 2026,Ana Tsosie,E
Alma Chavez,6,Grade 6 Science,Fall 2025,Renata Delgado,A
Alma Chavez,6,Grade 6 Science,Spring 2026,Nadia Yazzie,B
Alma Chavez,6,Grade 6 Science,Fall 2026,Xavier Torres,A
Alma Chavez,6,Grade 6 Social Studies,Fall 2025,Nathan Foster,B
Alma Chavez,6,Grade 6 Social Studies,Spring 2026,Nadia Yazzie,C
Alma Chavez,6,Grade 6 Social Studies,Fall 2026,Hana Ortiz,B
Alma Chavez,6,Grade 6 Art,Fall 2025,Tomas Bennett,A
Alma Chavez,6,Grade 6 Art,Spring 2026,Aaliyah Chen,A
Alma Chavez,6,Grade 6 Art,Fall 2026,Omar Ibarra,B
