staff_id,full_name,role_name
1,Keisha Bell,Teacher
2,Hector Vasquez,Teacher
3,Rosa Mendoza,Teacher
4,Renata Valdez,Teacher
5,Kenji Mendoza,Teacher
6,Renata Delgado,Teacher
7,Gabriela Ramirez,Teacher
8,Beatriz Padilla,Teacher
9,Ana Tsosie,Teacher
10,Ana Silva,Teacher
11,Hector Santos,Teacher
12,Aaliyah Chen,Teacher
13,Miguel Kim,Teacher
14,Benjamin Santos,Teacher
15,Xavier Torres,Teacher
16,Valeria Cruz,Teacher
17,Jasmine Martinez,Teacher
18,Jasmine Silva,Teacher
19,Marisol Padilla,Teacher
20,Renata Chen,Teacher
21,Nathan Foster,Teacher
22,Hana Valdez,Teacher
23,Kaya Gomez,Teacher
24,Hana Ortiz,Teacher
25,Yusuf Dominguez,Teacher
26,Adrian Ibarra,Teacher
27,Beatriz Chavez,Teacher
28,Wren Sanchez,Teacher
29,Uriel Chavez,Teacher
30,Hector Dominguez,Teacher
31,Paloma Jimenez,Teacher
32,Tomas Bennett,Teacher
33,Tomas Jimenez,Teacher
34,Javier Silva,Teacher
35,Beatriz Romero,Teacher
36,Uriel Yazzie,Teacher
37,Andre Nguyen,Teacher
38,Jasmine Washington,Teacher
39,Isaac Acosta,Teacher
40,Omar Ibarra,Teacher
41,Carlos Chavez,Teacher
42,Sebastian Gomez,Teacher
43,Adrian Velasquez,Teacher
44,Nadia Yazzie,Teacher
45,Luis Ortega,Registrar
46,Renata Dominguez,Counselor
47,Isaac Jimenez,Counselor
48,Dana Whitfield,Admin
49,Xavier Washington,Admin
50,Felix Nguyen,Teacher
51,Marisol Perez,Teacher
52,Samuel Williams,Teacher
53,Kenji Gomez,Teacher
54,Kaya Cruz,Teacher
55,Nadia Gutierrez,Teacher
56,Felix Yazzie,Teacher
57,Uriel Chen,Teacher
58,Javier Patel,Teacher
59,Rosa Cruz,Teacher
60,Quentin Singh,Teacher
