student_id,first_name,last_name,date_of_birth,grade_level,directory_opt_out
1,Tanya,Young,2016-09-27,5,f
2,Alma,Chavez,2015-02-07,6,f
3,Sebastian,Espinoza,2021-06-21,0,f
4,Kaya,Romero,2018-09-15,3,f
5,Tomas,Chavez,2013-06-26,8,f
6,Celeste,Tsosie,2017-07-14,4,f
7,Diego,Young,2017-09-05,4,f
8,Samuel,Jackson,2018-12-23,3,f
9,Mateo,Robinson,2014-04-16,7,f
10,Leon,Santos,2020-06-04,1,t
11,Gabriela,Lopez,2017-03-04,4,f
12,Aaliyah,Silva,2013-06-16,8,f
13,Yara,Martinez,2016-03-06,5,f
14,Miguel,Espinoza,2017-10-10,4,f
15,Talia,Ramirez,2015-02-19,6,f
16,Marcus,Reyes,2021-02-28,0,f
17,Nia,Ibarra,2017-04-08,4,f
18,Leon,Tsosie,2021-04-16,0,f
19,Gabriela,Gomez,2013-05-22,8,f
20,Benjamin,Tsosie,2014-10-25,7,f
21,Tanya,Flores,2020-05-20,1,t
22,Xavier,Rivera,2018-06-01,3,f
23,Carlos,Robinson,2021-05-13,0,f
24,Aaliyah,Garcia,2017-01-20,4,f
25,Valeria,Vasquez,2019-03-19,2,f
26,Noor,Rivera,2019-11-06,2,f
27,Uriel,Dominguez,2021-12-17,0,f
28,Adrian,Espinoza,2016-02-12,5,f
29,Jonah,Gutierrez,2013-03-12,8,f
30,Omar,Singh,2014-04-07,7,f
31,Esperanza,Kim,2016-02-21,5,f
32,Lucia,Salazar,2020-06-09,1,f
33,Hector,Ortiz,2021-03-25,0,f
34,Daniel,Sanchez,2021-05-08,0,f
35,Serena,Young,2016-11-18,5,f
36,Lucia,Valdez,2020-05-30,1,f
37,Noor,Cruz,2015-07-19,6,f
38,Esperanza,Velasquez,2015-04-28,6,f
39,Uriel,Yazzie,2017-08-04,4,t
40,Nathan,Chen,2016-12-21,5,f
41,Kenji,Jackson,2021-05-21,0,f
42,Yara,Medina,2018-07-16,3,f
43,Daniel,Acosta,2019-07-23,2,f
44,Uriel,Chavez,2018-10-03,3,f
45,Marcus,Kim,2018-11-29,3,f
46,Diego,Singh,2017-07-10,4,f
47,Kenji,Singh,2015-02-15,6,f
48,Adrian,Padilla,2015-08-12,6,f
49,Jasmine,Perez,2018-12-30,3,f
50,Nathan,Williams,2019-08-19,2,f
51,Diego,Delgado,2016-05-09,5,f
52,Nadia,Perez,2016-08-14,5,f
53,Yara,Williams,2017-10-08,4,f
54,Daniel,Velasquez,2017-06-09,4,f
55,Samuel,Castillo,2015-10-24,6,t
56,Carlos,Rivera,2017-08-11,4,f
57,Dolores,Espinoza,2017-01-29,4,f
58,Lucia,Ramirez,2021-06-16,0,f
59,Rafael,Bennett,2021-04-13,0,f
60,Renata,Delgado,2014-11-03,7,f
61,Jasmine,Acosta,2017-03-03,4,f
62,Yusuf,Kim,2015-07-19,6,f
63,Javier,Salazar,2014-02-19,7,f
64,Aaliyah,Jimenez,2020-05-22,1,f
65,Xavier,Perez,2018-06-09,3,f
66,Wren,Silva,2014-04-17,7,f
67,Lena,Vasquez,2017-11-26,4,f
68,Adrian,Morales,2017-11-27,4,f
69,Omar,Ibarra,2017-05-16,4,f
70,Yara,Delgado,2016-10-01,5,f
71,Javier,Vasquez,2018-12-08,3,f
72,Zoe,Delgado,2016-12-07,5,f
73,Leon,Hernandez,2019-11-29,2,f
74,Isaac,Padilla,2015-01-07,6,f
75,Celeste,Foster,2016-09-28,5,f
76,Talia,Garcia,2017-04-03,4,f
77,Nadia,Patel,2018-02-14,3,f
78,Javier,Chavez,2017-09-13,4,f
79,Isaac,Yazzie,2017-09-22,4,f
80,Ana,Salazar,2021-06-17,0,f
81,Diego,Chen,2019-02-25,2,f
82,Serena,Ramirez,2019-12-08,2,f
83,Carlos,Rivera,2016-04-30,5,f
84,Paloma,Chavez,2017-02-12,4,f
85,Samuel,Nguyen,2018-08-01,3,f
86,Wren,Patel,2019-03-12,2,f
87,Talia,Yazzie,2015-09-13,6,f
88,Tomas,Martinez,2018-10-01,3,f
89,Nathan,Ortiz,2020-01-01,1,f
90,Diego,Perez,2017-05-22,4,f
