provider_id,full_name,specialty,npi
1,Dr. Elena Vasquez,Family Medicine,1030485390
2,Dr. Nadia Yazzie,Family Medicine,1872645184
3,Dr. Kaya Ortiz,Family Medicine,1067852158
4,Dr. Kenji Foster,Pediatrics,1353014498
5,Dr. Miguel Garcia,Pediatrics,1355238798
6,Dr. Alma Martinez,Internal Medicine,1797722309
7,Dr. Aaliyah Velasquez,Internal Medicine,1460666083
8,Alma Yazzie,Nurse Practitioner,1245466467
9,Yara Jackson,Nurse Practitioner,1006767915
10,Olivia Rivera,Physician Assistant,1324602679
11,Kaya Mendoza,Behavioral Health,1263531291
12,Dr. Yara Rivera,Family Medicine,1179184744
